Regularization,C,Dataset,Pipeline,pr_auc_mean,pr_auc_std,f1_mean,f1_std
ElasticNet(l1=0.3),0.01,eeg_eye_state,A,0.5886451449486879,0.02195027648993426,0.4118381853138301,0.0287609048824902
ElasticNet(l1=0.5),0.01,eeg_eye_state,A,0.5878786027166226,0.021247506285348893,0.4041162496637282,0.026580749090521768
ElasticNet(l1=0.7),0.01,eeg_eye_state,A,0.5853664065597294,0.019170552692417273,0.38653323159335834,0.021132404207940596
ElasticNet(l1=0.3),0.1,eeg_eye_state,A,0.6020812207295899,0.016530954047033416,0.47113733563066973,0.032526284141105255
ElasticNet(l1=0.5),0.1,eeg_eye_state,A,0.6012752382482984,0.0169001990082394,0.4719347960513387,0.0326042240130201
ElasticNet(l1=0.7),0.1,eeg_eye_state,A,0.6004434618803908,0.01729460081786342,0.4710930564990887,0.03332975901564237
ElasticNet(l1=0.3),1.0,eeg_eye_state,A,0.6041599437045662,0.014108653721494597,0.4739647117659186,0.03504900155079024
ElasticNet(l1=0.5),1.0,eeg_eye_state,A,0.6040894966337248,0.014134078808699959,0.47384195055647105,0.03516845834906782
ElasticNet(l1=0.7),1.0,eeg_eye_state,A,0.6040963038204444,0.014139951454692951,0.4739822946075278,0.03490451423635755
ElasticNet(l1=0.3),10.0,eeg_eye_state,A,0.604407825187094,0.01386530768220723,0.47429575204771546,0.034970244514218984
ElasticNet(l1=0.5),10.0,eeg_eye_state,A,0.6043865101238085,0.013864225022927314,0.47429575204771546,0.034970244514218984
ElasticNet(l1=0.7),10.0,eeg_eye_state,A,0.6043859294608105,0.013862779606635938,0.47429575204771546,0.034970244514218984
L1,0.01,eeg_eye_state,B,0.5424938320592219,0.013569744845539083,0.29269151651147574,0.03988227863900867
L1,0.1,eeg_eye_state,B,0.557446953926066,0.010110679921894648,0.36062500962410005,0.017752276749390988
L1,1.0,eeg_eye_state,B,0.5586418678702998,0.009599185927871326,0.3679928446821237,0.014794545402655733
L1,10.0,eeg_eye_state,B,0.5587279660298872,0.009560062469010462,0.3682102171700765,0.014767025359620803
L2,0.01,eeg_eye_state,B,0.5538833008383192,0.008801561623105185,0.3412576067149212,0.026447643730731107
L2,0.1,eeg_eye_state,B,0.5584058802657763,0.00948822304096398,0.36467283796808125,0.017802751752505994
L2,1.0,eeg_eye_state,B,0.5587409492211137,0.009312450121835299,0.3692675992269857,0.014540089480356481
L2,10.0,eeg_eye_state,B,0.5587467222088682,0.009282637367720756,0.37015953526875445,0.014592966565295216
ElasticNet(l1=0.3),0.01,eeg_eye_state,B,0.550290575602485,0.010778586807312302,0.3339373292652993,0.025341154104488242
ElasticNet(l1=0.5),0.01,eeg_eye_state,B,0.5483587663593754,0.011358517903129311,0.3233910475305108,0.027682872692124858
ElasticNet(l1=0.7),0.01,eeg_eye_state,B,0.5463816733283628,0.012166096074787533,0.31328231543463575,0.031285753645407775
ElasticNet(l1=0.3),0.1,eeg_eye_state,B,0.5581421771051247,0.009715603367678703,0.3633896970860957,0.017222384931845046
ElasticNet(l1=0.5),0.1,eeg_eye_state,B,0.5579705690145103,0.00984138258379603,0.3636351574849174,0.01746365728911505
ElasticNet(l1=0.7),0.1,eeg_eye_state,B,0.5577699519418108,0.009920074659820977,0.3627751311882922,0.017906508248386556
ElasticNet(l1=0.3),1.0,eeg_eye_state,B,0.5587043044219696,0.009559414117298753,0.36809968067794163,0.014560484474364418
ElasticNet(l1=0.5),1.0,eeg_eye_state,B,0.5586820807160041,0.009581611111506065,0.36801168956607755,0.014584607610921622
ElasticNet(l1=0.7),1.0,eeg_eye_state,B,0.5586612547090912,0.009582839946505717,0.3678577971287916,0.01466607716347162
ElasticNet(l1=0.3),10.0,eeg_eye_state,B,0.5587469609830172,0.009543585418375163,0.3682102171700765,0.014767025359620803
ElasticNet(l1=0.5),10.0,eeg_eye_state,B,0.5587439084886606,0.009544345489679308,0.3682102171700765,0.014767025359620803
ElasticNet(l1=0.7),10.0,eeg_eye_state,B,0.5587359018685412,0.009551306778852704,0.3682102171700765,0.014767025359620803
